WAVE_ID,Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
6,8,3,71.0,0.4160495,4,111.0,0.04914565,10,38.0,0.2225085,19,0,0,0,0,0,0,0,0,0
7,6,3,62.0,0.02855117,17,64.0,0.3900473,22,87.0,0.4412134,28,0,0,0,0,0,0,0,0,0
11,12,3,43.0,0.4422253,14,23.0,0.3437447,6,25.0,0.3191243,29,0,0,0,0,0,0,0,0,0
15,12,3,39.0,0.3798178,26,34.0,0.065506,17,20.0,0.3430056,23,0,0,0,0,0,0,0,0,0
17,5,3,54.0,0.1645427,13,105.0,0.1602882,26,100.0,0.04179706,27,0,0,0,0,0,0,0,0,0
35,6,3,60.0,0.2840018,20,70.0,0.07973762,4,82.0,0.3884116,21,0,0,0,0,0,0,0,0,0
37,1,3,90.0,0.4348654,5,101.0,0.2196404,5,114.0,0.02369721,17,0,0,0,0,0,0,0,0,0
44,8,3,105.0,0.3270718,30,26.0,0.3018207,10,84.0,0.3309393,8,0,0,0,0,0,0,0,0,0
52,10,3,49.0,0.3590651,18,37.0,0.2461212,22,26.0,0.08109947,23,0,0,0,0,0,0,0,0,0
55,10,3,74.0,0.3357814,24,91.0,0.2243549,13,57.0,0.1740178,12,0,0,0,0,0,0,0,0,0
60,11,3,48.0,0.2686819,24,38.0,0.4040691,17,46.0,0.3516012,28,0,0,0,0,0,0,0,0,0
67,2,3,6.0,0.384699,11,86.0,0.4299135,2,56.0,0.4787248,20,0,0,0,0,0,0,0,0,0
70,5,3,118.0,0.3032316,28,108.0,0.1971415,25,105.0,0.1827273,9,0,0,0,0,0,0,0,0,0
72,3,3,75.0,0.03689243,2,49.0,0.1630523,12,105.0,0.2922879,8,0,0,0,0,0,0,0,0,0
76,5,3,69.0,0.3317026,9,76.0,0.4694684,2,24.0,0.08686222,20,0,0,0,0,0,0,0,0,0
77,13,3,6.0,0.09685822,26,92.0,0.2793342,25,56.0,0.4990515,22,0,0,0,0,0,0,0,0,0
83,6,3,74.0,0.4882475,19,97.0,0.07717241,8,71.0,0.1081454,15,0,0,0,0,0,0,0,0,0
89,4,3,94.0,0.08476199,3,119.0,0.4698582,9,39.0,0.4385251,26,0,0,0,0,0,0,0,0,0
91,12,3,21.0,0.0428936,25,119.0,0.2752943,14,7.0,0.09598662,14,0,0,0,0,0,0,0,0,0
93,6,3,47.0,0.2705541,15,5.0,0.2752614,12,38.0,0.4178882,24,0,0,0,0,0,0,0,0,0
110,9,3,103.0,0.1605555,1,39.0,0.2237041,28,15.0,0.4701412,14,0,0,0,0,0,0,0,0,0
121,6,3,14.0,0.4765179,8,119.0,0.2892379,24,92.0,0.1272722,7,0,0,0,0,0,0,0,0,0
130,9,3,72.0,0.4407956,25,48.0,0.01349539,8,77.0,0.1885479,6,0,0,0,0,0,0,0,0,0
138,0,3,62.0,0.3684817,7,36.0,0.04503192,2,80.0,0.2905667,21,0,0,0,0,0,0,0,0,0
142,6,3,68.0,0.04942192,3,48.0,0.1214205,16,61.0,0.2002784,14,0,0,0,0,0,0,0,0,0
156,8,3,79.0,0.1370671,13,105.0,0.1242792,9,32.0,0.3174953,4,0,0,0,0,0,0,0,0,0
161,2,3,14.0,0.1453842,7,105.0,0.499672,16,118.0,0.3754683,30,0,0,0,0,0,0,0,0,0
162,4,3,10.0,0.3197177,13,19.0,0.1752635,5,31.0,0.1258706,17,0,0,0,0,0,0,0,0,0
163,3,3,10.0,0.2788835,24,85.0,0.4331267,10,11.0,0.4515017,2,0,0,0,0,0,0,0,0,0
167,12,3,104.0,0.09462781,15,18.0,0.4701554,23,60.0,0.04473473,21,0,0,0,0,0,0,0,0,0
168,7,3,90.0,0.2418577,10,77.0,0.1588737,25,12.0,0.08155824,7,0,0,0,0,0,0,0,0,0
170,9,3,77.0,0.2863767,10,22.0,0.3690714,5,51.0,0.1630476,18,0,0,0,0,0,0,0,0,0
179,5,3,116.0,0.4231945,4,16.0,0.02179481,26,72.0,0.124286,8,0,0,0,0,0,0,0,0,0
191,10,3,62.0,0.2797766,20,24.0,0.05382086,15,8.0,0.3776372,25,0,0,0,0,0,0,0,0,0
195,7,3,8.0,0.194274,5,80.0,0.2998333,9,45.0,0.0267324,8,0,0,0,0,0,0,0,0,0
200,9,3,97.0,0.2773701,27,14.0,0.1423659,28,79.0,0.1031337,6,0,0,0,0,0,0,0,0,0
201,4,3,7.0,0.4217008,3,56.0,0.1014524,30,120.0,0.01630319,9,0,0,0,0,0,0,0,0,0
203,15,3,61.0,0.367051,6,20.0,0.07532276,29,32.0,0.2933541,28,0,0,0,0,0,0,0,0,0
208,5,3,66.0,0.4919347,5,30.0,0.3191693,7,52.0,0.2505161,15,0,0,0,0,0,0,0,0,0
212,4,3,94.0,0.06000967,2,62.0,0.2023392,16,75.0,0.4476915,4,0,0,0,0,0,0,0,0,0
214,7,3,34.0,0.1746193,25,119.0,0.4607379,19,119.0,0.1043709,14,0,0,0,0,0,0,0,0,0
219,4,3,62.0,0.03839363,22,101.0,0.2607386,18,86.0,0.3328553,6,0,0,0,0,0,0,0,0,0
221,13,3,25.0,0.3855422,30,110.0,0.3864174,28,63.0,0.1667534,4,0,0,0,0,0,0,0,0,0
226,4,3,38.0,0.3131793,2,20.0,0.1476879,8,86.0,0.3707425,3,0,0,0,0,0,0,0,0,0
229,6,3,79.0,0.08812065,26,49.0,0.25164,4,32.0,0.09602584,29,0,0,0,0,0,0,0,0,0
232,7,3,17.0,0.2890281,21,27.0,0.2290166,26,104.0,0.1363868,15,0,0,0,0,0,0,0,0,0
235,11,3,38.0,0.3677145,26,39.0,0.3131256,29,66.0,0.4044324,27,0,0,0,0,0,0,0,0,0
237,6,3,105.0,0.2293218,16,83.0,0.05641462,10,13.0,0.2634875,6,0,0,0,0,0,0,0,0,0
249,9,3,98.0,0.4603805,19,114.0,0.3052906,9,61.0,0.09887953,25,0,0,0,0,0,0,0,0,0
255,14,3,38.0,0.2601,14,42.0,0.2532849,17,29.0,0.2293752,21,0,0,0,0,0,0,0,0,0
258,9,3,66.0,0.03005321,17,48.0,0.4850848,18,59.0,0.3680244,3,0,0,0,0,0,0,0,0,0
261,9,3,100.0,0.258941,27,77.0,0.05871989,5,10.0,0.07402922,2,0,0,0,0,0,0,0,0,0
264,7,3,94.0,0.1844183,18,79.0,0.1316603,9,93.0,0.4540594,8,0,0,0,0,0,0,0,0,0
271,8,3,120.0,0.02165903,19,116.0,0.1005886,29,113.0,0.3410989,6,0,0,0,0,0,0,0,0,0
277,6,3,45.0,0.4474239,2,36.0,0.4654325,19,97.0,0.1680431,17,0,0,0,0,0,0,0,0,0
281,5,3,77.0,0.1768665,27,91.0,0.1173312,3,107.0,0.4614011,19,0,0,0,0,0,0,0,0,0
285,9,3,26.0,0.1412093,26,64.0,0.3214884,3,48.0,0.1546935,28,0,0,0,0,0,0,0,0,0
290,4,3,27.0,0.2527354,2,20.0,0.3312532,1,23.0,0.4711865,17,0,0,0,0,0,0,0,0,0
291,11,3,39.0,0.4403071,8,37.0,0.2870459,22,33.0,0.4424078,27,0,0,0,0,0,0,0,0,0
294,2,3,6.0,0.2231132,4,34.0,0.04007877,5,92.0,0.2936749,8,0,0,0,0,0,0,0,0,0
301,8,3,18.0,0.1296205,9,66.0,0.2245594,26,47.0,0.08445145,30,0,0,0,0,0,0,0,0,0
322,6,3,64.0,0.3914196,7,69.0,0.4468037,10,52.0,0.1352665,2,0,0,0,0,0,0,0,0,0
326,13,3,97.0,0.3195691,24,115.0,0.01943399,21,29.0,0.2927283,26,0,0,0,0,0,0,0,0,0
336,7,3,14.0,0.32723,21,40.0,0.1049601,9,67.0,0.02145107,26,0,0,0,0,0,0,0,0,0
341,3,3,111.0,0.4200552,1,103.0,0.3818871,4,28.0,0.423055,12,0,0,0,0,0,0,0,0,0
343,9,3,8.0,0.2515541,12,15.0,0.0163293,17,46.0,0.3932847,23,0,0,0,0,0,0,0,0,0
346,5,3,12.0,0.149705,24,50.0,0.08433427,18,51.0,0.09734239,8,0,0,0,0,0,0,0,0,0
347,9,3,68.0,0.05648406,16,37.0,0.2392456,18,118.0,0.1496507,6,0,0,0,0,0,0,0,0,0
355,4,3,90.0,0.4753367,29,8.0,0.1663214,3,93.0,0.2295425,4,0,0,0,0,0,0,0,0,0
360,6,3,106.0,0.4665774,13,93.0,0.3965777,9,31.0,0.03184975,22,0,0,0,0,0,0,0,0,0
366,14,3,83.0,0.02239008,26,34.0,0.4482186,29,59.0,0.3105093,13,0,0,0,0,0,0,0,0,0
370,0,3,96.0,0.04467513,3,110.0,0.3196478,8,113.0,0.2323543,5,0,0,0,0,0,0,0,0,0
385,6,3,12.0,0.04031111,19,51.0,0.1512743,15,13.0,0.2235557,4,0,0,0,0,0,0,0,0,0
397,12,3,24.0,0.3408811,28,92.0,0.2298082,5,34.0,0.2307256,12,0,0,0,0,0,0,0,0,0
406,8,3,60.0,0.1085802,18,82.0,0.1692004,20,28.0,0.4890574,12,0,0,0,0,0,0,0,0,0
418,10,3,72.0,0.2647953,27,23.0,0.2877301,30,103.0,0.1293838,9,0,0,0,0,0,0,0,0,0
421,15,3,42.0,0.3677743,21,39.0,0.09186752,13,36.0,0.3806905,26,0,0,0,0,0,0,0,0,0
430,2,3,13.0,0.4586827,1,116.0,0.3868852,6,105.0,0.08064975,18,0,0,0,0,0,0,0,0,0
443,6,3,22.0,0.2263229,15,105.0,0.2748165,10,93.0,0.5075108,25,0,0,0,0,0,0,0,0,0
445,10,3,103.0,0.239547,12,72.0,0.1824157,28,21.0,0.446888,6,0,0,0,0,0,0,0,0,0
449,6,3,97.0,0.2091652,14,12.0,0.04335256,27,92.0,0.1408516,11,0,0,0,0,0,0,0,0,0
450,11,3,99.0,0.2690803,23,20.0,0.3006372,18,58.0,0.3092789,30,0,0,0,0,0,0,0,0,0
478,6,3,114.0,0.115495,17,30.0,0.384237,3,82.0,0.3396943,23,0,0,0,0,0,0,0,0,0
479,10,3,57.0,0.4940145,10,106.0,0.02213753,26,40.0,0.2801166,21,0,0,0,0,0,0,0,0,0
482,5,3,75.0,0.07965387,2,85.0,0.4920361,17,95.0,0.1851479,27,0,0,0,0,0,0,0,0,0
484,6,3,27.0,0.2298829,19,14.0,0.1307811,2,108.0,0.4484622,20,0,0,0,0,0,0,0,0,0
490,4,3,41.0,0.1532355,13,66.0,0.362185,7,65.0,0.2514986,21,0,0,0,0,0,0,0,0,0
506,6,3,24.0,0.2586909,12,117.0,0.4093788,4,118.0,0.2481937,15,0,0,0,0,0,0,0,0,0
515,9,3,108.0,0.4866403,23,74.0,0.4143401,15,69.0,0.2567154,16,0,0,0,0,0,0,0,0,0
516,5,3,99.0,0.1870508,12,33.0,0.2788472,3,70.0,0.02026607,16,0,0,0,0,0,0,0,0,0
517,9,3,32.0,0.3772465,11,18.0,0.3228107,12,43.0,0.2668356,7,0,0,0,0,0,0,0,0,0
527,9,3,38.0,0.3733348,25,40.0,0.2304999,17,102.0,0.163836,30,0,0,0,0,0,0,0,0,0
546,12,3,42.0,0.09534158,22,29.0,0.3465835,13,79.0,0.2864489,29,0,0,0,0,0,0,0,0,0
552,11,3,110.0,0.1251493,29,27.0,0.2529727,17,56.0,0.04912008,27,0,0,0,0,0,0,0,0,0
559,5,3,59.0,0.3717211,21,99.0,0.129074,28,48.0,0.1167035,25,0,0,0,0,0,0,0,0,0
563,4,3,119.0,0.1248635,7,50.0,0.4759136,3,92.0,0.4123805,15,0,0,0,0,0,0,0,0,0
564,9,3,90.0,0.09111281,25,75.0,0.4717032,24,113.0,0.2855818,14,0,0,0,0,0,0,0,0,0
