SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
1,7,25,97,1.12371134
2,10,55,91,0.934065934
3,29,119,107,1.224299065
4,9,106,78,1.256410256
5,2,113,96,1.333333333
6,25,53,82,1.37804878
7,3,83,111,1.288288288
8,5,115,91,1.43956044
9,28,40,99,1.545454545
10,8,44,110,1.472727273
11,7,107,102,1.764705882
12,18,116,103,1.805825243
13,14,116,93,1.892473118
14,28,18,87,2.172413793
15,13,24,101,1.871287129
16,15,28,100,2.07
17,27,64,89,2.04494382
18,23,99,92,2.22826087
19,29,55,98,1.897959184
20,14,16,99,2.121212121
21,30,78,87,1.965517241
22,7,112,74,1.864864865
23,11,52,94,2.127659574
24,17,45,91,1.945054945
25,4,99,84,2.119047619
26,21,53,73,2.356164384
27,25,38,92,2.184782609
28,23,78,100,2.01
29,21,74,97,2.175257732
30,14,89,91,2.021978022
31,6,67,94,1.904255319
32,4,106,71,2.436619718
33,9,116,95,2.252631579
34,22,51,87,2.425287356
35,1,5,87,2.448275862
36,11,8,80,2.6
37,20,55,99,2.919191919
38,20,51,87,2.390804598
39,5,66,91,2.450549451
40,19,55,97,2.835051546
41,25,67,83,2.228915663
42,17,60,103,2.475728155
43,27,114,102,2.607843137
44,26,20,115,2.347826087
45,20,108,94,2.872340426
46,11,64,82,2.731707317
47,20,58,111,3.072072072
48,11,85,84,2.761904762
49,3,67,95,2.768421053
50,20,39,90,2.633333333
