WAVE_ID,TEST_ID,PREDICTION,VARIANCE,HITS,AVERAGE,TARGET,FITNESS
2,57,0.32236554749655,0.556513409961686,5,0.0,0.0,0.756220546085892
3,57,0.32236554749655,0.556513409961686,1,0.0,0.0,0.756220546085892
4,57,0.274149285932541,0.33154052603328,2,0.0,0.0,0.784837382122704
5,57,0.153786801993458,0.341189544116831,0,0.0,0.0,0.866711244094324
6,57,0.0796498352097306,0.348444444444444,1,0.0,0.0,0.92622623263393
7,57,0.203929118291261,0.40090965628297,2,1.8,0.0,0.830613688599254
8,57,0.0510697421159423,0.327507690599145,1,1.0,0.0,0.951411650629121
9,57,3.86610067560332,0.342913543228386,4,1.2,0.0,0.205503347247165
10,57,0.827724839767647,0.351586317952135,1,1.2,0.0,0.547128316097236
11,57,0.429389340458406,0.328673330001666,1,1.6,0.0,0.699599458717064
12,57,0.190987931012405,0.337215725470598,2,1.8,0.0,0.83963907195128
13,57,0.198692363581582,0.374793603198401,0,1.8,0.0,0.834242402774152
14,57,0.665682673197842,0.279397079238159,0,1.8,0.0,0.600354446820417
15,57,0.20347981562387,0.37602876339608,0,1.6,0.0,0.830923784847495
16,57,0.875981764261587,0.373869065467266,1,0.8,0.0,0.533054226679241
17,57,0.0512959744908744,0.366979732356044,4,0.6,0.0,0.951206915406926
18,57,0.409739845392827,0.337636404020212,2,0.6,0.0,0.709350734900224
19,57,0.0685947051141834,0.365327225276251,0,1.0,0.0,0.935808495507036
20,57,5.15786318993075,0.319319562441002,5,1.4,0.0,0.162393995651997
21,57,0.0348151286707912,0.389923260591926,1,1.4,0.0,0.966356184867615
22,57,3.14952777563036,0.346641790216003,2,2.4,0.0,0.240991276851501
23,57,0.132743465706654,0.333401521461491,0,2.4,0.0,0.882812421995375
24,57,0.137720937940856,0.341597645621634,2,2.0,0.0,0.878950156094551
25,57,0.210686033823757,0.398742517630074,0,1.6,0.0,0.825977980144783
26,57,0.977876210670666,0.366138597367983,0,2.0,0.0,0.505592820668352
27,57,0.144999075618496,0.427762674218446,0,1.0,0.0,0.873363153292326
28,57,3.4443479305962,0.37567949358654,9,0.8,0.0,0.225004889773298
29,57,0.062927455453012,0.370535732133933,0,0.4,0.0,0.94079797785713
30,57,0.872590026928758,0.321728135932034,3,2.2,0.0,0.534019725149376
31,57,0.182331549915494,0.439950024987506,1,1.8,0.0,0.845786448325802
32,57,0.206840821142463,0.318579265922594,0,2.4,0.0,0.828609686338329
33,57,0.374731970767198,0.390534399466933,0,2.6,0.0,0.727414529242863
34,57,0.544673240508296,0.303050141595869,1,2.6,0.0,0.64738609988834
35,57,0.348031624987895,0.289134099616858,2,0.8,0.0,0.741822367069118
36,57,0.229326749828237,0.336992281636959,0,1.0,0.0,0.813453376889887
37,57,4.50277906889566,0.330661669165417,3,0.8,0.0,0.181726360214638
38,57,0.339595489701343,0.391694375034705,2,0.6,0.0,0.746493999492674
39,57,0.18388697186215,0.377376311844078,4,1.2,0.0,0.844675227512989
40,57,0.24719626386768,0.381402076739408,0,1.6,0.0,0.801798429313492
41,57,5.80395390321841,0.340834360597479,9,2.2,0.0,0.146973360153385
42,57,0.160466389032511,0.270958409684047,0,1.8,0.0,0.861722502654519
43,57,0.299534175346482,0.324172247209728,2,3.6,0.0,0.769506506011873
44,57,1.63829210390852,0.353749014381698,1,3.0,0.0,0.379033091058314
45,57,0.228075637867869,0.321053029041035,1,3.0,0.0,0.814282092015046
46,57,0.0437704847815237,0.344947082014548,4,2.4,0.0,0.95806502936135
47,57,0.0627707246892959,0.338436004220112,4,2.6,0.0,0.940936720534792
48,57,0.55047441509116,0.308837136987062,3,1.6,0.0,0.644963887561756
49,57,0.161923055371974,0.386625687156422,6,2.4,0.0,0.860642190756318
50,57,0.0514020633478802,0.359099894497196,1,2.6,0.0,0.951110936503972
51,57,0.561181158488788,0.327429840635238,0,3.6,0.0,0.640540641870194
52,57,0.245951483076692,0.33951757454606,0,3.6,0.0,0.802599466462644
53,57,0.0454577670688572,0.365711588650119,0,2.8,0.0,0.956518793047549
54,57,0.430756922642448,0.317582319951136,1,2.0,0.0,0.698930741800219
55,57,0.149167848455162,0.33221511466489,2,1.4,0.0,0.870194897521762
56,57,0.591244889552572,0.279336998167583,0,0.4,0.0,0.62843878704073
57,57,0.698934967717054,0.357755122438781,1,0.6,0.0,0.58860404683666
58,57,0.151109238660721,0.299350546948748,3,0.6,0.0,0.868727285733513
59,57,3.77151609778156,0.321337664501083,9,0.8,0.0,0.209576994451009
60,57,0.10862808722369,0.375115997556777,2,1.4,0.0,0.902015754386482
61,57,0.111213263024454,0.354880004442223,1,3.0,0.0,0.899917267492746
62,57,0.641783424775689,0.335971458715087,6,3.0,0.0,0.609093739216335
63,57,0.55047441509116,0.344247320784052,1,3.2,0.0,0.644963887561756
64,57,0.0749710913107275,0.333553667610639,2,4.2,0.0,0.930257571487055
65,57,0.147598103779139,0.276101837969904,0,3.8,0.0,0.87138519805586
66,57,4.85884207946682,0.3031984007996,3,2.4,0.0,0.170682195857338
67,57,0.24353783213721,0.417573546560053,0,2.0,0.0,0.804157281926822
68,57,0.256148464897814,0.310561274918096,1,2.4,0.0,0.796084247851236
69,57,1.32643173020905,0.403453384418902,6,1.2,0.0,0.429842826664557
70,57,0.123305067848983,0.307118218668444,0,1.2,0.0,0.890230115579189
71,57,0.0677117861051043,0.396091176633905,1,2.0,0.0,0.936582337706381
72,57,0.221930620910868,0.29791937364651,3,2.0,0.0,0.818377067513263
73,57,0.0926637999529567,0.384941529235382,0,1.6,0.0,0.915194589571475
74,57,0.705351762475098,0.365347104225665,2,2.2,0.0,0.586389282045
75,57,0.821706583413901,0.288798711755233,0,2.0,0.0,0.548935818656216
76,57,0.914613923350182,0.323194069631851,0,1.2,0.0,0.522298515987119
77,57,4.37186722579839,0.374440668554612,10,1.2,0.0,0.186155012124497
78,57,0.0150032306865524,0.325691265478372,0,1.0,0.0,0.985218539239046
79,57,0.451435608315278,0.274145149647399,0,2.4,0.0,0.688973043604262
80,57,0.532773199872238,0.320849353101227,0,2.4,0.0,0.652412243477877
81,57,1.19727720346401,0.332999056027542,2,2.0,0.0,0.455108716061987
82,57,0.0856062398680782,0.329271364317841,3,2.0,0.0,0.921144300205117
83,57,-0.00887605629008966,0.37352223888056,1,2.4,0.0,0.991202034824819
84,57,0.121962566226209,0.386939197068133,0,1.0,0.0,0.891295331098611
85,57,0.33218834293454,0.33853228941085,1,1.2,0.0,0.750644613411256
86,57,0.672656607692866,0.344443667055361,3,1.2,0.0,0.59785134771035
87,57,2.88531206762195,0.331422844133489,5,1.4,0.0,0.257379582208837
88,57,0.0339733549639715,0.358622799711255,0,1.6,0.0,0.967142910707509
89,57,1.04623150364117,0.33162329946138,4,2.0,0.0,0.48870325569993
90,57,0.011698202027962,0.299092453773114,1,1.8,0.0,0.988437063341369
91,57,0.18098716510123,0.371335998667333,0,2.6,0.0,0.846749253643698
92,57,0.930265999861229,0.28576078627353,0,2.6,0.0,0.518063307466012
93,57,0.516687397948102,0.402474984729857,3,2.0,0.0,0.659331649020789
94,57,2.82882901973822,0.363587761674718,2,1.0,0.0,0.261176455497083
95,57,0.455309900896871,0.379177855516686,3,1.6,0.0,0.687138870976604
96,57,0.287098557176315,0.360357154755955,1,1.2,0.0,0.776941279865655
97,57,0.275362551881451,0.290493086789938,1,1.6,0.0,0.784090766229131
98,57,0.0309742720441388,0.332223554889222,0,1.8,0.0,0.969956308842424
99,57,0.422821212161393,0.334796823810317,0,2.0,0.0,0.702828987449572
100,57,1.41722839201756,0.346529735132434,4,1.4,0.0,0.413696953240196
101,57,2.22992433241752,0.30498561830196,3,1.0,0.0,0.309604765825772
102,57,0.326329645871085,0.33773268921095,0,1.2,0.0,0.753960375638832
103,57,0.0427832604207075,0.345491698595147,0,1.6,0.0,0.958972049156902
104,57,0.0621427543019199,0.357051030040535,1,1.4,0.0,0.941493028602053
105,57,0.112022440157828,0.357383197290244,1,1.4,0.0,0.899262430853625
106,57,0.442206593701765,0.356423121772447,3,1.6,0.0,0.693381937085481
107,57,0.231086693914296,0.3826704425565,0,1.0,0.0,0.812290473986959
108,57,0.0960248513008585,0.350203898050975,3,1.0,0.0,0.912388073454397
109,57,0.732272299373409,0.340246543394969,1,1.0,0.0,0.577276438839644
110,57,0.0798896862571998,0.38418668443556,3,1.6,0.0,0.926020512991759
111,57,0.263276682272236,0.317160197678938,3,1.6,0.0,0.791592216498557
112,57,0.220668621029747,0.316945971458715,0,2.0,0.0,0.819223160654786
113,57,0.092819043305674,0.40685646065856,4,2.0,0.0,0.915064581697653
114,57,0.354454168771625,0.307475262368816,2,2.0,0.0,0.73830479445273
115,57,0.0686824860887241,0.396279971125548,0,2.2,0.0,0.935731627180278
116,57,4.1071307214544,0.368237992115054,4,2.4,0.0,0.195804668515145
117,57,0.0211286744460358,0.320139818979399,1,1.8,0.0,0.979308508822635
118,57,0.00948207893346393,0.364595813204509,1,2.0,0.0,0.990606986115895
119,57,0.0148353972376642,0.289204619912266,4,2.2,0.0,0.985381474839553
120,57,0.00262332190205065,0.393716586151369,0,1.6,0.0,0.997383541857925
121,57,7.08987552248506,0.342633905269587,16,2.0,0.0,0.123611293587137
122,57,0.0359766740589304,0.329840302071187,0,2.0,0.0,0.96527269841448
123,57,0.308450692529231,0.335724248986618,0,4.4,0.0,0.764262651146858
124,57,0.00947550634169605,0.344064523293909,3,4.2,0.0,0.990613436526858
125,57,0.120034099603453,0.364444222333278,2,4.0,0.0,0.892829960469487
126,57,0.202187532843409,0.354087289688489,0,3.8,0.0,0.831816973865309
127,57,0.482486599783647,0.283375090232661,2,4.2,0.0,0.674542350799481
128,57,0.30042532512257,0.332719529124327,1,1.0,0.0,0.768979182392276
129,57,0.0897787058625701,0.382385029707368,1,1.4,0.0,0.917617488852044
130,57,0.0891073419447881,0.329587872730302,2,1.6,0.0,0.918183140795397
131,57,0.000853391965139963,0.372031428730079,3,1.2,0.0,0.999147335710544
132,57,0.139073720516351,0.432621022821922,0,1.2,0.0,0.877906308582449
133,57,6.07881295211478,0.384595924260092,12,1.8,0.0,0.141266620443429
134,57,0.108367804938882,0.401433283358321,0,1.4,0.0,0.902227575210112
135,57,6.486431082252,0.34693642067855,10,3.6,0.0,0.133574995044644
136,57,0.0564408075445751,0.334612471542007,0,3.4,0.0,0.946574566735747
137,57,0.37302751807366,0.35776245210728,2,5.0,0.0,0.728317530026052
138,57,0.583330916716368,0.353962018990505,2,4.4,0.0,0.631579906327708
139,57,0.181105879452059,0.352474318396357,2,4.8,0.0,0.846664143579108
140,57,1.7552608219973,0.328037981009495,0,2.8,0.0,0.362942045584
141,57,0.0629129494153908,0.36298261980121,3,3.2,0.0,0.940810817553276
142,57,0.200959218826636,0.295418068743406,0,1.2,0.0,0.832667740008566
143,57,0.195578572698496,0.362036093064579,1,1.8,0.0,0.836415122182738
144,57,0.205688513802137,0.361750902326615,0,1.4,0.0,0.829401619672914
145,57,0.415823364515736,0.396855572213893,0,1.2,0.0,0.706302792449195
146,57,0.398963476091248,0.320002776389583,1,0.8,0.0,0.714814942239184
147,57,0.0822296007147866,0.334384141262702,0,0.8,0.0,0.924018341943767
148,57,0.877214701944243,0.254723193958576,2,0.4,0.0,0.532704108982802
149,57,0.534721409584806,0.337259259259259,2,0.4,0.0,0.651584045006685
150,57,0.231808708358884,0.274898217557888,0,0.6,0.0,0.811814362263781
151,57,4.42187809353319,0.380121939030485,8,1.0,0.0,0.184437943021337
152,57,0.124717800849296,0.269690932311622,0,1.0,0.0,0.88911191624363
153,57,7.60482895988023,0.337286801043923,10,2.4,0.0,0.116213816594086
154,57,0.134106539482585,0.38149147648398,1,2.4,0.0,0.881751368918851
155,57,0.0445752568166121,0.382006330168249,3,4.0,0.0,0.957326908582916
156,57,0.127563995991513,0.374354045199622,0,3.8,0.0,0.886867620536184
157,57,0.012906623120466,0.341075573324449,1,4.4,0.0,0.987257835244707
158,57,1.44077389192121,0.321075462268866,4,2.8,0.0,0.409706127490544
159,57,0.264248509318278,0.311442500971736,2,3.0,0.0,0.790983722007855
160,57,0.189045069794935,0.320860125492809,0,1.8,0.0,0.84101101285657
161,57,0.785968319221917,0.387611194402799,2,2.0,0.0,0.559920351295853
162,57,0.336334455524814,0.418304292298295,4,1.4,0.0,0.74831565356103
163,57,0.190829743586026,0.300564606585596,2,1.8,0.0,0.839750610243497
164,57,0.509667854614949,0.37528235882059,0,2.4,0.0,0.662397350855321
165,57,0.213423738716274,0.482281525903715,6,2.0,0.0,0.824114415984706
166,57,0.154043647839182,0.390864456660559,0,1.6,0.0,0.866518354501952
167,57,7.41160133106358,0.268353156754956,12,2.8,0.0,0.11888342485522
168,57,0.105284862494377,0.368839469154312,0,2.4,0.0,0.90474413807786
169,57,0.676283411356475,0.308005774890333,1,4.0,0.0,0.596557830606995
170,57,0.352218566593118,0.341462157809984,1,3.6,0.0,0.739525416544659
171,57,0.861710162197575,0.285432617024821,1,3.8,0.0,0.537140530763698
172,57,0.113414512773645,0.357272808040424,1,2.8,0.0,0.898138105839772
173,57,0.0712811545638809,0.33511977344661,1,3.0,0.0,0.933461764972396
174,57,0.694379112500857,0.281835859847854,0,0.8,0.0,0.590186697390548
175,57,5.3377233351376,0.374749625187406,1,1.0,0.0,0.157785368615808
176,57,0.00540521555816299,0.361258481870176,1,0.8,0.0,0.994623843736925
177,57,0.0520120005037936,0.319124215669943,2,0.8,0.0,0.950559499110829
178,57,0.386904395113114,0.401272474873674,0,0.8,0.0,0.721030236959409
179,57,0.000651708040515307,0.370167471819646,4,1.0,0.0,0.999348716399392
180,57,0.368549209296111,0.278891665278472,3,0.8,0.0,0.730700804564093
181,57,4.09606898865075,0.426740629685157,3,1.6,0.0,0.19622968755892
182,57,0.0711681827012187,0.374247098672886,2,2.0,0.0,0.933560214609804
183,57,0.0524542955761992,0.364301626964296,1,2.4,0.0,0.950160024360244
184,57,0.0993579121039516,0.309335443389416,0,2.4,0.0,0.909621871540255
185,57,0.245618162600276,0.301497251374313,3,2.6,0.0,0.802814239923859
186,57,0.0282382155760431,0.398973624298962,2,1.8,0.0,0.972537281765795
187,57,3.53371271809817,0.315724360042201,4,1.8,0.0,0.220569780796138
188,57,0.374889808914933,0.374382919651285,3,1.6,0.0,0.727331008537001
189,57,1.2915427232672,0.349589760675218,0,2.0,0.0,0.436387229492561
190,57,7.07156855929705,0.355646843245044,7,2.4,0.0,0.12389165765657
191,57,0.0177548732014446,0.330427341884613,2,2.4,0.0,0.982554862936721
192,57,0.0583671545552843,0.372758620689655,2,3.2,0.0,0.944851694244843
193,57,0.327170216827014,0.404880781831307,3,3.2,0.0,0.753482848448265
194,57,1.79578953323964,0.355216724970848,2,2.8,0.0,0.357680722056769
