WAVE_ID,TEST_ID,PREDICTION,VARIANCE,HITS,AVERAGE,TARGET,FITNESS
2,72,7.99993579799824,0.722072297184741,8,0.0,8.0,0.999935802119383
3,72,7.99993579799824,0.722072297184741,2,0.0,8.0,0.999935802119383
4,72,7.99984609672731,0.658779128954042,7,0.0,8.0,0.999846120415225
5,72,7.99949064668741,0.67061025043034,7,0.0,8.0,0.999490906012335
6,72,7.99497217278814,0.529819534677106,2,0.0,8.0,0.994997325243808
7,72,12.3138541196935,0.572926425676051,1,5.2,8.0,0.993876140752531
8,72,13.9998498787833,0.581883724804264,14,4.0,8.0,0.999849901322968
9,72,13.9955651179189,0.588367149758454,5,3.8,8.0,0.995584699141644
10,72,10.3199653790486,0.587536898217558,11,6.2,8.0,0.997391861728587
11,72,11.0354581487943,0.692204120162141,4,5.8,8.0,0.999025757200896
12,72,9.69137831101448,0.570402576489533,14,6.6,8.0,0.994439417795969
13,72,9.14384667213337,0.645243156199678,3,7.0,8.0,0.999011856822731
14,72,6.67071911373687,0.569641845743795,3,9.6,8.0,0.99596375137954
15,72,8.64787356649178,0.625057249153201,7,7.4,8.0,0.999225904150616
16,72,9.1408521784516,0.604965961463713,2,7.0,8.0,0.997998640345112
17,72,10.326500788084,0.649703148425787,4,6.2,8.0,0.996094859568181
18,72,11.0389673039907,0.586918762840802,12,5.8,8.0,0.995535671603018
19,72,14.0118557682163,0.593025931478705,2,3.8,8.0,0.988283144283706
20,72,11.4232222304029,0.592169915042479,11,5.6,8.0,0.994678993799005
21,72,11.8542541722848,0.585102337720029,8,5.4,8.0,0.997603050306577
22,72,10.325411128003,0.614887445166306,10,6.2,8.0,0.99717720016657
23,72,8.65295504934555,0.669825087456272,4,7.4,8.0,0.995711681714832
24,72,7.44029342684519,0.676813593203398,12,8.6,8.0,0.998435203472214
25,72,9.14208888744045,0.602132267199733,9,7.0,8.0,0.999231926272347
26,72,7.11190830042809,0.551355211283247,15,9.0,8.0,0.999203498582726
27,72,7.44023508238311,0.659733466600033,8,8.6,8.0,0.998377044862741
28,72,6.4000398119058,0.658751068909989,13,10.0,8.0,0.999960285038746
29,72,6.6529076679976,0.592831584207896,7,9.6,8.0,0.986427896363559
30,72,5.61697659786273,0.71402609806208,10,11.4,8.0,0.997067158595011
31,72,6.15352363805789,0.625203620412016,2,10.4,8.0,0.999677478227042
32,72,6.03477961302345,0.62786451218835,7,10.6,8.0,0.997052388214255
33,72,7.99792991381756,0.591061136098617,4,8.0,8.0,0.997934190326986
34,72,8.2082297378956,0.581260036648342,12,7.8,8.0,0.99690851881045
35,72,10.6585883185461,0.627163973568771,8,6.0,8.0,0.991986075419383
36,72,9.14344832929019,0.586393914154034,8,7.0,8.0,0.999409571089129
37,72,9.69643912895675,0.601298906102504,23,6.6,8.0,0.9994694246489
38,72,8.20528543333049,0.63709434171803,6,7.8,8.0,0.999843260979168
39,72,5.8161450780929,0.641148314731523,8,11.0,8.0,0.997967227051822
40,72,5.61923188363077,0.679039591315453,8,11.4,8.0,0.994830112742391
41,72,6.04196446688075,0.670421900161031,8,10.6,8.0,0.995789277498867
42,72,6.03263648243024,0.586112943528236,17,10.6,8.0,0.994926415766098
43,72,6.0446405324071,0.702767283025154,4,10.6,8.0,0.99314275329577
44,72,6.80202922640449,0.718077405741574,4,9.4,8.0,0.993560186107274
45,72,7.11560216640602,0.549587650619135,13,9.0,8.0,0.995529076628249
