SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
1,8,70,126,1.642857143
2,24,99,156,1.538461538
3,15,10,144,1.618055556
4,2,7,141,1.836879433
5,12,107,141,1.709219858
6,1,7,141,1.893617021
7,19,110,130,1.823076923
8,25,86,152,2.065789474
9,25,53,138,1.927536232
10,17,50,149,1.66442953
11,4,19,148,1.878378378
12,3,68,161,1.863354037
13,5,28,125,2.232
14,6,72,139,2.230215827
15,24,25,132,2.484848485
16,28,14,130,2.438461538
17,10,101,139,2.201438849
18,17,9,134,2.417910448
19,20,91,145,2.227586207
20,28,91,142,1.992957746
21,8,97,143,2.524475524
22,28,53,137,2.598540146
23,29,48,142,2.281690141
24,8,42,136,2.632352941
25,13,31,140,2.321428571
26,14,113,133,2.187969925
27,5,23,147,2.306122449
28,18,89,133,2.593984962
29,6,45,142,2.943661972
30,14,113,144,3.138888889
31,4,21,151,2.78807947
32,5,37,130,2.4
33,5,25,166,2.903614458
34,26,19,136,2.948529412
35,12,75,142,2.647887324
36,23,56,152,2.802631579
37,8,31,146,2.739726027
38,7,56,137,2.927007299
39,27,74,117,3.162393162
40,27,61,135,2.918518519
41,15,45,136,2.705882353
42,15,16,153,3.176470588
43,23,68,148,2.952702703
44,21,79,148,3.189189189
45,20,101,140,3.107142857
46,28,8,160,2.825
47,28,8,124,3.411290323
48,22,46,130,3.5
49,24,115,120,3.041666667
50,6,24,148,3.243243243
