SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
35,1,18,48,0.291666667
14,2,74,66,0.333333333
11,3,81,75,0.44
23,4,15,76,0.526315789
40,5,15,88,0.625
20,6,76,74,0.608108108
21,7,107,84,0.821428571
40,8,45,78,0.871794872
22,9,49,83,1
13,10,72,93,1.010752688
16,11,15,99,1.111111111
23,12,81,76,1.236842105
44,13,87,80,1.2875
38,14,41,71,1.154929577
16,15,12,82,1.292682927
8,16,87,89,1.483146067
1,17,72,68,1.75
3,18,67,73,1.452054795
27,19,22,82,1.719512195
29,20,78,75,1.84
46,21,99,78,1.692307692
38,22,68,77,2.25974026
39,23,77,75,2.066666667
11,24,100,82,2.353658537
38,25,102,79,2.493670886
11,26,105,64,2.484375
21,27,90,87,2.459770115
28,28,8,72,2.583333333
26,29,59,77,2.857142857
41,30,50,47,2.914893617
