WAVE_ID,TEST_ID,PREDICTION,VARIANCE,HITS,AVERAGE,TARGET,FITNESS
2,50,5.02297272812828,0.683341662502082,7,0.0,5.0,0.859862564428329
3,50,5.02297272812828,0.683341662502082,9,0.0,5.0,0.859862564428329
4,50,4.94517040473682,0.748858903881393,7,0.0,5.0,0.868355816684853
5,50,5.00709778110054,0.601314481648065,1,0.0,5.0,0.836297138022387
6,50,4.9674027302204,0.647727247487367,7,0.0,5.0,0.840149959977811
7,50,3.81725269506181,0.612291854072963,1,6.6,5.0,0.827795320715481
8,50,3.7877265742328,0.638708867788328,6,6.6,5.0,0.85539223282793
9,50,5.0127365411945,0.596222999611306,9,5.0,5.0,0.830943382723877
10,50,5.69692801790133,0.623214725970348,4,4.4,5.0,0.840354934001245
11,50,5.22475858138557,0.704872008440224,5,4.8,5.0,0.87225291185983
12,50,4.63091187894526,0.65064034649342,8,5.4,5.0,0.859487774225373
13,50,4.97987708534196,0.69565606085846,15,5.0,5.0,0.866426841473623
14,50,3.91839818913942,0.676467099783442,7,6.4,5.0,0.863385410624975
15,50,3.05101175663363,0.703269698484091,0,8.2,5.0,0.879972098533526
16,50,3.22772445545125,0.724179354767061,11,7.8,5.0,0.876413576022158
17,50,3.53484166480745,0.633321561441502,6,7.0,5.0,0.832151293555554
18,50,3.02096977037544,0.640704425564995,8,8.2,5.0,0.840046844937795
19,50,3.2580296155465,0.611356543950247,4,7.8,5.0,0.814396541744838
20,50,3.9880254395803,0.644047642845244,8,6.4,5.0,0.812262818527816
21,50,4.26797408733042,0.57970359264812,4,5.8,5.0,0.807492375460448
22,50,3.31823611011784,0.599518129823977,4,7.4,5.0,0.805769027434978
23,50,4.1651507566115,0.583826864345605,6,6.0,5.0,0.832622576423568
24,50,4.45940835971922,0.588470986728858,10,5.6,5.0,0.832476185875838
25,50,4.8078992273686,0.561099783441613,10,5.2,5.0,0.82431578725397
26,50,3.89339970223437,0.589792770281526,26,6.4,5.0,0.828304750603198
27,50,3.65719035981533,0.679873729801766,2,6.8,5.0,0.860600172144023
28,50,2.2416413089742,0.683942695319007,9,11.2,5.0,0.86793163004249
29,50,2.24759677774948,0.6603968015992,9,10.8,5.0,0.826368109971874
30,50,2.31166420042534,0.702195902048976,9,11.4,5.0,0.817223933058494
31,50,2.23369328294381,0.589812427119773,6,11.2,5.0,0.834996155442046
32,50,2.2945137980695,0.578747959353657,1,11.0,5.0,0.818705987533968
33,50,3.55268121144662,0.544512521517019,14,7.0,5.0,0.806763590336133
34,50,3.67939852946725,0.487908045977011,6,6.8,5.0,0.793411582316254
35,50,3.21073886577656,0.533858848353601,7,7.8,5.0,0.810195925278035
36,50,3.47011193314841,0.52018768393581,1,7.2,5.0,0.806811566433612
37,50,3.64794676979292,0.499958576267422,8,6.8,5.0,0.783343766649677
38,50,4.32611156196192,0.558407129768449,12,5.8,5.0,0.814049650130477
39,50,3.46679411820804,0.610187906046976,4,7.2,5.0,0.840835883047292
40,50,3.69213764924433,0.543401188294742,16,6.8,5.0,0.808105241392659
