SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
1,18,21,281,2.822064057
2,8,91,295,2.511864407
3,6,25,271,2.258302583
4,22,34,283,2.303886926
5,11,73,280,2.035714286
6,18,85,295,2.362711864
7,17,102,311,2.225080386
8,13,87,278,2.330935252
9,20,58,309,2.611650485
10,14,100,288,2.434027778
11,26,74,310,2.458064516
12,18,35,270,2.777777778
13,24,21,290,2.665517241
14,8,22,294,2.357142857
15,6,65,277,2.61732852
16,5,101,250,2.432
17,23,93,254,2.57480315
18,6,115,304,2.328947368
19,6,53,294,2.513605442
20,25,99,286,2.48951049
21,28,20,263,2.83269962
22,3,28,261,2.731800766
23,26,98,294,2.595238095
24,20,41,283,2.961130742
25,17,44,270,2.855555556
26,11,95,262,2.72519084
27,13,24,274,3.00729927
28,24,28,289,2.934256055
29,29,94,306,3.173202614
30,8,58,288,3.048611111
31,29,106,270,3.037037037
32,29,27,270,2.892592593
33,30,114,295,3.237288136
34,29,83,283,3.229681979
35,2,89,278,3.543165468
36,26,78,301,3.3089701
37,28,35,273,3.091575092
38,10,28,290,3.055172414
39,8,89,288,3.916666667
40,2,91,258,3.410852713
41,12,59,302,4.006622517
42,24,118,290,3.731034483
43,5,77,273,3.846153846
44,10,16,264,3.890151515
45,14,90,291,3.756013746
46,12,54,265,4.20754717
47,17,111,290,4.168965517
48,20,24,314,4.375796178
49,14,69,290,4.403448276
50,8,83,289,4.134948097
