SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
5,1,90,130,1.261538462
12,2,37,241,1.369294606
12,3,68,254,1.503937008
11,4,19,238,1.617647059
32,5,37,248,1.47983871
50,6,24,258,1.84496124
38,7,56,219,1.812785388
21,8,97,264,2.090909091
37,9,113,235,1.676595745
49,10,29,237,1.936708861
5,11,12,246,2.292682927
35,12,75,240,2.170833333
25,13,31,238,2.109243697
30,14,113,228,2.350877193
42,15,16,245,2.469387755
38,16,117,235,2.710638298
10,17,50,227,2.074889868
50,18,94,239,2.794979079
7,19,110,263,2.733840304
20,20,8,237,3.151898734
44,21,79,226,3.274336283
48,22,46,235,2.957446809
36,23,56,236,3.190677966
15,24,25,251,2.733067729
16,25,19,255,3.447058824
40,26,97,239,3.368200837
40,27,61,228,3.390350877
16,28,14,269,3.457249071
23,29,48,238,3.798319328
33,30,103,130,3.415384615
