SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
25,1,101.0,27,0.518518518518519,14
27,2,85.0,28,1.10714285714286,31
25,3,7.0,55,1.50909090909091,83
44,4,116.0,54,1.35185185185185,73
10,5,90.0,53,1.92452830188679,102
27,6,6.0,41,2.78048780487805,114
42,7,119.0,56,1.57142857142857,88
6,8,80.0,56,1.83928571428571,103
47,9,59.0,50,1.96,98
7,10,14.0,54,2.38888888888889,129
21,11,70.0,41,2.68292682926829,110
24,12,14.0,49,1.81632653061225,89
15,13,72.0,54,2.42592592592593,131
45,14,95.0,61,2.85245901639344,174
31,15,106.0,57,2.75438596491228,157
1,16,65.0,64,3.90625,250
32,17,88.0,54,3.98148148148148,215
40,18,20.0,38,2.63157894736842,100
11,19,119.0,48,3.39583333333333,163
12,20,118.0,46,2.41304347826087,111
49,21,60.0,53,3.07547169811321,163
26,22,98.0,49,3.26530612244898,160
20,23,73.0,65,3.07692307692308,200
26,24,32.0,63,3.6031746031746,227
29,25,93.0,42,4.19047619047619,176
40,26,25.0,54,4.18518518518519,226
32,27,66.0,58,3.68965517241379,214
38,28,15.0,51,3.17647058823529,162
23,29,36.0,55,3.32727272727273,183
45,30,7.0,24,4.29166666666667,103
