WAVE_ID,Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
3035,11,6,29.0,0.3450979,11,44.0,0.4319538,7,81.0,0.1229826,6,59.0,0.3838119,4,24.0,0.1379407,9,78.0,0.3025194,24
3042,26,6,90.0,0.1883739,20,102.0,0.0278383,12,37.0,0.3481955,28,31.0,0.4711308,13,95.0,0.4001438,26,90.0,0.1390924,16
3044,13,6,24.0,0.07759161,7,6.0,0.3036821,12,58.0,0.150499,12,50.0,0.4654357,12,23.0,0.5091205,21,35.0,0.3409351,7
3056,13,6,86.0,0.1412997,10,28.0,0.3030721,4,27.0,0.3736877,5,52.0,0.04183681,28,60.0,0.3985898,7,79.0,0.1406201,15
3066,10,6,22.0,0.1818486,22,69.0,0.4556449,4,60.0,0.20276,3,56.0,0.2066688,29,78.0,0.251727,13,89.0,0.4436733,13
3067,34,6,59.0,0.2939187,28,68.0,0.4186523,28,10.0,0.4586686,1,81.0,0.2385737,16,32.0,0.4701101,24,19.0,0.4100837,16
3068,17,6,93.0,0.4248609,17,64.0,0.06999089,4,56.0,0.5009597,26,119.0,0.01392354,19,119.0,0.3936018,12,65.0,0.01153333,27
3071,16,6,7.0,0.3085267,12,17.0,0.4078097,11,97.0,0.3581645,14,6.0,0.1788832,15,76.0,0.2038846,22,88.0,0.4617405,29
3073,13,6,66.0,0.01853878,23,54.0,0.3630723,27,90.0,0.06939228,10,120.0,0.1282638,6,112.0,0.3564328,8,120.0,0.09612896,1
3075,18,6,26.0,0.3197286,14,43.0,0.4012399,12,105.0,0.2429809,7,49.0,0.02878888,30,90.0,0.2500758,16,45.0,0.08941551,10
3102,23,6,73.0,0.3433812,12,76.0,0.05120517,12,116.0,0.4883669,25,65.0,0.2526428,2,54.0,0.1113089,7,34.0,0.4740692,17
3118,13,6,42.0,0.18852,9,14.0,0.4009995,25,72.0,0.2555095,8,26.0,0.3316564,24,10.0,0.2387005,7,110.0,0.4325447,17
3122,9,6,32.0,0.1743141,28,117.0,0.2629251,5,6.0,0.3596386,19,101.0,0.3651999,15,31.0,0.05780651,21,44.0,0.3157977,3
3123,15,6,109.0,0.07219888,27,23.0,0.4713823,3,102.0,0.1420545,5,85.0,0.3836537,3,55.0,0.02603645,7,64.0,0.148493,10
3133,26,6,47.0,0.4444947,2,82.0,0.09929158,19,38.0,0.3979632,28,62.0,0.2590847,17,62.0,0.414907,9,63.0,0.4458188,17
3135,17,6,45.0,0.2880665,4,27.0,0.03577413,21,112.0,0.3547626,12,36.0,0.09901257,21,79.0,0.1969438,10,87.0,0.01052297,5
