Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
18,4,41.0,0.02210714,15,31.0,0.4942288,30,68.0,0.02687074,14,54.0,0.4889806,9,0,0,0,0,0,0
17,5,91.0,0.01960082,26,91.0,0.02550752,12,53.0,0.3140111,14,9.0,0.08315279,5,111.0,0.3015307,13,0,0,0
4,2,85.0,0.4144292,8,37.0,0.4379752,14,0,0,0,0,0,0,0,0,0,0,0,0
12,4,95.0,0.4531207,10,20.0,0.1085391,8,50.0,0.4143688,12,75.0,0.3244189,18,0,0,0,0,0,0
3,2,42.0,0.1770382,14,87.0,0.1892007,5,0,0,0,0,0,0,0,0,0,0,0,0
7,4,88.0,0.4468576,17,7.0,0.3817599,20,57.0,0.2144341,21,89.0,0.1774735,3,0,0,0,0,0,0
5,2,23.0,0.1559593,17,100.0,0.3733817,18,0,0,0,0,0,0,0,0,0,0,0,0
16,4,21.0,0.4752086,22,94.0,0.4869428,8,83.0,0.3315034,27,54.0,0.1202448,2,0,0,0,0,0,0
22,4,53.0,0.3548922,29,112.0,0.4354834,20,43.0,0.4315403,11,30.0,0.08239646,30,0,0,0,0,0,0
10,4,100.0,0.1222142,23,112.0,0.4516342,10,102.0,0.4899618,6,47.0,0.2726889,8,0,0,0,0,0,0
3,3,80.0,0.1303571,16,29.0,0.0290562,3,73.0,0.1695879,22,0,0,0,0,0,0,0,0,0
10,6,37.0,0.5090984,21,78.0,0.1925913,6,99.0,0.2376469,4,101.0,0.1335953,3,27.0,0.2788915,10,83.0,0.07220705,9
15,6,105.0,0.1435136,29,55.0,0.2618378,20,51.0,0.2625103,4,82.0,0.3305291,2,16.0,0.1021041,14,14.0,0.2525797,24
9,6,26.0,0.4996796,5,73.0,0.3066432,6,45.0,0.272218,12,65.0,0.47175,17,50.0,0.1481796,2,115.0,0.4007746,19
5,2,92.0,0.4027453,23,46.0,0.08493336,3,0,0,0,0,0,0,0,0,0,0,0,0
3,1,107.0,0.3468237,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,8.0,0.1543616,1,71.0,0.2841316,27,51.0,0.08653875,13,20.0,0.05563845,26,43.0,0.0793779,12,0,0,0
13,6,89.0,0.1048133,8,63.0,0.4839911,24,90.0,0.1929871,11,82.0,0.06050785,26,84.0,0.1213411,12,88.0,0.2033776,22
3,4,65.0,0.02865661,10,101.0,0.05496581,6,18.0,0.03912129,28,75.0,0.04565676,19,0,0,0,0,0,0
5,2,15.0,0.03110654,12,69.0,0.2312069,21,0,0,0,0,0,0,0,0,0,0,0,0
1,2,115.0,0.2287523,5,50.0,0.02056391,20,0,0,0,0,0,0,0,0,0,0,0,0
18,5,95.0,0.4222134,23,98.0,0.266365,14,63.0,0.4535578,23,74.0,0.0611551,23,69.0,0.2232508,5,0,0,0
6,3,94.0,0.4682159,22,73.0,0.2043915,6,108.0,0.03816797,9,0,0,0,0,0,0,0,0,0
2,5,100.0,0.3348017,3,17.0,0.1076818,8,58.0,0.04538371,8,78.0,0.2214336,4,6.0,0.3266818,2,0,0,0
3,2,92.0,0.2377381,16,87.0,0.08931299,19,0,0,0,0,0,0,0,0,0,0,0,0
9,5,7.0,0.2617038,6,73.0,0.4984091,3,21.0,0.3786129,24,83.0,0.1286338,24,67.0,0.3086959,23,0,0,0
2,1,64.0,0.4494808,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,63.0,0.2152932,18,81.0,0.3151377,3,36.0,0.03257592,21,56.0,0.06651784,28,66.0,0.3021066,4,0,0,0
15,5,29.0,0.3404761,12,46.0,0.3168133,27,72.0,0.2918134,2,69.0,0.4866632,21,72.0,0.08619882,6,0,0,0
0,1,82.0,0.2193921,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,48.0,0.2884306,6,26.0,0.05666901,7,106.0,0.3226922,9,0,0,0,0,0,0,0,0,0
7,3,67.0,0.1406398,30,93.0,0.1785164,29,117.0,0.06928398,20,0,0,0,0,0,0,0,0,0
11,4,108.0,0.4066755,18,31.0,0.4605173,13,13.0,0.1358411,15,51.0,0.135689,7,0,0,0,0,0,0
18,6,38.0,0.2038988,16,28.0,0.04214491,19,38.0,0.4173311,15,24.0,0.04757948,21,83.0,0.1286084,2,106.0,0.05582304,23
9,5,59.0,0.4686665,2,11.0,0.07523449,2,88.0,0.09859522,8,67.0,0.3844751,26,88.0,0.1481225,22,0,0,0
10,5,88.0,0.369659,11,110.0,0.4188027,28,14.0,0.2177312,22,17.0,0.3509646,10,11.0,0.06447239,24,0,0,0
13,3,45.0,0.1983933,8,29.0,0.3450793,25,67.0,0.2316204,17,0,0,0,0,0,0,0,0,0
1,2,44.0,0.2853459,25,119.0,0.2036414,7,0,0,0,0,0,0,0,0,0,0,0,0
2,3,60.0,0.2868861,13,67.0,0.4185249,6,95.0,0.07516415,7,0,0,0,0,0,0,0,0,0
18,6,82.0,0.2423214,15,58.0,0.2303092,29,60.0,0.1999547,5,115.0,0.1050655,22,93.0,0.09488691,20,72.0,0.210571,22
14,4,71.0,0.1351998,22,117.0,0.322228,8,20.0,0.361942,12,120.0,0.0971358,12,0,0,0,0,0,0
13,4,34.0,0.4466838,22,62.0,0.4841419,16,63.0,0.09238924,3,58.0,0.1675481,14,0,0,0,0,0,0
8,3,102.0,0.4626021,27,88.0,0.03486653,22,70.0,0.1511935,12,0,0,0,0,0,0,0,0,0
0,1,117.0,0.1549058,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,100.0,0.1936766,12,117.0,0.2526126,30,40.0,0.05656137,17,14.0,0.4191318,11,0,0,0,0,0,0
6,3,6.0,0.4586454,6,41.0,0.3740297,20,73.0,0.1512097,21,0,0,0,0,0,0,0,0,0
34,6,79.0,0.1555962,22,107.0,0.4116004,25,68.0,0.2037429,28,38.0,0.4629481,11,50.0,0.258201,27,37.0,0.4405863,15
17,4,41.0,0.2448888,28,75.0,0.2662908,3,24.0,0.489054,24,58.0,0.1197328,26,0,0,0,0,0,0
16,6,109.0,0.4745111,9,48.0,0.481221,30,23.0,0.45864,13,105.0,0.3545549,21,102.0,0.4539815,5,59.0,0.2634449,4
16,6,29.0,0.02891858,7,19.0,0.483017,15,94.0,0.2594776,20,68.0,0.01045139,19,34.0,0.2432152,7,42.0,0.03842165,13
1,1,119.0,0.4252277,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,22.0,0.5034195,19,60.0,0.2151185,28,0,0,0,0,0,0,0,0,0,0,0,0
4,1,97.0,0.1631076,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,11.0,0.4717039,4,74.0,0.01015032,29,0,0,0,0,0,0,0,0,0,0,0,0
11,6,40.0,0.1890312,17,18.0,0.4685374,17,109.0,0.3048904,16,85.0,0.2085889,7,65.0,0.1532842,11,13.0,0.2834785,9
8,2,95.0,0.1209477,18,6.0,0.04645272,26,0,0,0,0,0,0,0,0,0,0,0,0
4,2,66.0,0.1744908,22,118.0,0.2886961,20,0,0,0,0,0,0,0,0,0,0,0,0
3,1,11.0,0.2621045,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,47.0,0.03767355,18,87.0,0.3823294,3,73.0,0.2872203,27,0,0,0,0,0,0,0,0,0
24,5,46.0,0.4760082,20,42.0,0.4703609,20,20.0,0.3454433,8,31.0,0.5078452,8,109.0,0.4434551,25,0,0,0
19,5,94.0,0.2963923,26,114.0,0.2264805,20,31.0,0.1506167,19,53.0,0.3098836,14,109.0,0.0303557,7,0,0,0
2,2,12.0,0.3194197,7,86.0,0.406153,18,0,0,0,0,0,0,0,0,0,0,0,0
3,1,33.0,0.4175004,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,22.0,0.1110979,22,80.0,0.2792856,5,0,0,0,0,0,0,0,0,0,0,0,0
12,5,48.0,0.3431377,3,96.0,0.1600355,30,36.0,0.3478263,5,35.0,0.1148119,13,9.0,0.04861183,3,0,0,0
21,6,62.0,0.4315531,10,20.0,0.4524771,13,42.0,0.09010918,18,58.0,0.4772286,9,55.0,0.3998815,17,10.0,0.4613516,3
0,1,8.0,0.1746325,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,110.0,0.2282099,11,97.0,0.4034049,28,101.0,0.1206933,12,59.0,0.2045187,15,90.0,0.4161338,3,0,0,0
5,4,44.0,0.1221165,3,82.0,0.4056571,14,29.0,0.3390977,2,90.0,0.2620887,5,0,0,0,0,0,0
2,1,49.0,0.3939552,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,53.0,0.045285,8,9.0,0.3076479,14,94.0,0.4970844,10,41.0,0.1658025,29,6.0,0.08657987,2,53.0,0.4139105,14
22,6,47.0,0.2182804,18,23.0,0.03803785,13,109.0,0.1677239,25,87.0,0.2536519,11,38.0,0.3468306,17,71.0,0.03654267,27
19,5,26.0,0.0644318,22,72.0,0.07210244,17,56.0,0.1853119,20,39.0,0.4808404,24,33.0,0.1026965,19,0,0,0
8,3,83.0,0.3968185,6,24.0,0.05587824,9,16.0,0.3860247,9,0,0,0,0,0,0,0,0,0
7,4,29.0,0.2954288,16,30.0,0.04969145,15,89.0,0.1425527,12,25.0,0.07590963,13,0,0,0,0,0,0
11,3,13.0,0.2971367,14,33.0,0.2901468,8,116.0,0.1391539,20,0,0,0,0,0,0,0,0,0
16,6,91.0,0.1031598,2,105.0,0.217653,27,48.0,0.09108938,25,70.0,0.4656649,22,109.0,0.3527879,3,99.0,0.2888959,21
22,6,64.0,0.4210503,20,9.0,0.380325,29,96.0,0.1964234,23,94.0,0.2045089,27,25.0,0.03577919,8,114.0,0.1950369,25
1,1,63.0,0.2389806,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,21.0,0.08022983,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,108.0,0.4827223,11,42.0,0.4735567,3,0,0,0,0,0,0,0,0,0,0,0,0
7,4,63.0,0.03148736,8,57.0,0.1223347,17,51.0,0.08627571,6,58.0,0.3008989,21,0,0,0,0,0,0
21,6,41.0,0.07267536,3,38.0,0.3657738,18,22.0,0.02081222,23,8.0,0.4125551,12,119.0,0.164262,18,14.0,0.3273188,5
1,1,53.0,0.07981332,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6,50.0,0.1946668,21,31.0,0.5078906,22,67.0,0.03967674,7,38.0,0.4630702,29,41.0,0.502568,13,112.0,0.3064195,22
10,5,7.0,0.193088,17,100.0,0.327658,7,9.0,0.2591443,15,35.0,0.02548922,10,6.0,0.3123289,21,0,0,0
9,3,112.0,0.4688707,17,95.0,0.3034345,16,45.0,0.4269758,19,0,0,0,0,0,0,0,0,0
7,2,20.0,0.1934761,19,22.0,0.2943951,22,0,0,0,0,0,0,0,0,0,0,0,0
10,2,87.0,0.2608692,27,35.0,0.2968522,29,0,0,0,0,0,0,0,0,0,0,0,0
22,6,84.0,0.03215421,13,9.0,0.3014977,20,64.0,0.4501597,25,102.0,0.5005819,1,30.0,0.20036,22,40.0,0.257786,25
8,5,21.0,0.197401,12,15.0,0.2062955,4,19.0,0.1245311,22,41.0,0.07751472,20,48.0,0.3166614,13,0,0,0
6,3,18.0,0.3061415,3,37.0,0.01744832,17,104.0,0.4671568,20,0,0,0,0,0,0,0,0,0
2,1,111.0,0.3189356,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,75.0,0.1511883,13,111.0,0.2839491,4,103.0,0.1379666,27,85.0,0.1434115,11,41.0,0.07584472,21,38.0,0.12157,1
3,2,51.0,0.2860259,18,118.0,0.2255363,23,0,0,0,0,0,0,0,0,0,0,0,0
24,6,57.0,0.4034245,10,58.0,0.09430642,4,107.0,0.0168897,29,53.0,0.0185603,18,34.0,0.4660834,7,56.0,0.09851314,26
2,3,72.0,0.104034,5,94.0,0.4679477,14,72.0,0.3718537,11,0,0,0,0,0,0,0,0,0
16,6,59.0,0.1176126,13,14.0,0.4400789,30,120.0,0.2880575,13,41.0,0.0892839,25,26.0,0.3410722,5,32.0,0.3552642,5
12,6,20.0,0.1874999,29,26.0,0.1926731,2,18.0,0.2871529,26,7.0,0.1104316,26,41.0,0.1107119,22,110.0,0.3218651,11
20,6,7.0,0.09178777,29,29.0,0.0946594,23,112.0,0.1846211,13,108.0,0.02344246,10,41.0,0.01746703,2,55.0,0.2614938,4
1,1,57.0,0.3279476,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,15.0,0.2155815,6,68.0,0.1135606,3,83.0,0.3786531,27,98.0,0.2262893,7,118.0,0.05955984,15,0,0,0
2,4,51.0,0.3384438,10,44.0,0.172713,17,88.0,0.3587469,21,5.0,0.4717056,23,0,0,0,0,0,0
13,6,116.0,0.3649972,17,58.0,0.1976672,6,53.0,0.1177801,7,46.0,0.5007492,2,58.0,0.4332213,25,76.0,0.3096206,14
24,5,35.0,0.0542521,17,100.0,0.3877723,17,102.0,0.3672232,22,114.0,0.3138631,29,33.0,0.2543267,24,0,0,0
11,6,110.0,0.2984606,26,39.0,0.2314952,3,36.0,0.05353744,3,74.0,0.3504427,5,69.0,0.1130292,24,32.0,0.09813489,1
8,2,15.0,0.4554725,3,49.0,0.1645492,24,0,0,0,0,0,0,0,0,0,0,0,0
3,1,58.0,0.4210064,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,78.0,0.2922801,26,118.0,0.3254708,10,47.0,0.3023401,26,0,0,0,0,0,0,0,0,0
24,6,55.0,0.3474432,26,18.0,0.3989534,16,49.0,0.4156848,7,116.0,0.3686962,14,34.0,0.1478541,11,66.0,0.02547945,9
26,5,11.0,0.487807,5,47.0,0.1166639,13,44.0,0.07347365,25,28.0,0.3982922,29,49.0,0.3042223,14,0,0,0
19,6,103.0,0.2981614,3,32.0,0.2398575,18,95.0,0.07796682,2,38.0,0.4231097,26,102.0,0.166431,18,51.0,0.4701752,10
16,4,95.0,0.4068506,9,97.0,0.06990613,9,35.0,0.2117914,14,17.0,0.4873383,23,0,0,0,0,0,0
4,3,84.0,0.4791334,2,107.0,0.2190682,22,76.0,0.4494703,8,0,0,0,0,0,0,0,0,0
9,3,79.0,0.4046754,23,23.0,0.2535967,22,84.0,0.1252872,22,0,0,0,0,0,0,0,0,0
9,3,79.0,0.03971721,18,68.0,0.1072994,18,8.0,0.08454032,8,0,0,0,0,0,0,0,0,0
7,3,115.0,0.2743122,13,75.0,0.2754521,26,50.0,0.3721838,8,0,0,0,0,0,0,0,0,0
2,1,109.0,0.4672605,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,96.0,0.3967074,20,112.0,0.2963332,13,16.0,0.06739809,21,17.0,0.1635212,29,57.0,0.3271671,25,59.0,0.1632068,5
13,3,27.0,0.3894493,30,116.0,0.0141762,13,68.0,0.4300712,13,0,0,0,0,0,0,0,0,0
0,1,95.0,0.3602896,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,115.0,0.4769366,19,109.0,0.08343257,8,57.0,0.4807377,10,17.0,0.3077531,6,110.0,0.1340676,12,54.0,0.4360229,27
5,3,54.0,0.3976011,6,78.0,0.4046618,18,74.0,0.4668507,29,0,0,0,0,0,0,0,0,0
8,4,24.0,0.4043028,25,78.0,0.1129717,18,82.0,0.2601841,19,8.0,0.20395,10,0,0,0,0,0,0
1,1,14.0,0.132267,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,46.0,0.3377531,5,106.0,0.1834166,3,20.0,0.09656645,13,53.0,0.06349899,19,46.0,0.1053002,26,0,0,0
2,1,48.0,0.2084942,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,63.0,0.174205,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,43.0,0.2077328,13,37.0,0.3654378,19,7.0,0.02768059,21,62.0,0.2306163,26,98.0,0.1983154,25,0,0,0
9,4,92.0,0.03584595,14,87.0,0.2648695,26,95.0,0.2309073,22,115.0,0.3994887,4,0,0,0,0,0,0
3,2,66.0,0.2728716,18,119.0,0.4342994,15,0,0,0,0,0,0,0,0,0,0,0,0
1,1,72.0,0.2550139,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,103.0,0.3993295,20,117.0,0.285135,29,90.0,0.05498971,10,15.0,0.1525036,15,24.0,0.1575033,9,116.0,0.1534254,28
12,5,47.0,0.04306085,11,97.0,0.3793548,20,88.0,0.3969417,3,97.0,0.3116883,24,100.0,0.3644828,30,0,0,0
1,1,30.0,0.1033033,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,89.0,0.1740635,20,59.0,0.1463615,5,110.0,0.3277985,29,114.0,0.3506084,12,0,0,0,0,0,0
6,2,11.0,0.3932131,16,114.0,0.4389526,22,0,0,0,0,0,0,0,0,0,0,0,0
5,1,8.0,0.4943021,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,105.0,0.1215712,13,76.0,0.06036897,10,30.0,0.08983953,14,51.0,0.384441,17,68.0,0.03747942,25,32.0,0.1485496,13
12,5,53.0,0.3418182,21,65.0,0.4485926,16,108.0,0.1284934,10,24.0,0.2660125,21,106.0,0.432754,9,0,0,0
21,5,56.0,0.01651491,8,107.0,0.3321578,10,109.0,0.3347846,19,47.0,0.04175211,22,24.0,0.4849631,12,0,0,0
12,3,115.0,0.2537343,9,57.0,0.5091575,26,61.0,0.4012107,17,0,0,0,0,0,0,0,0,0
4,3,29.0,0.04383875,5,10.0,0.09926023,3,90.0,0.4567762,19,0,0,0,0,0,0,0,0,0
25,6,76.0,0.208919,3,92.0,0.3988637,24,110.0,0.2832153,22,62.0,0.1060046,17,11.0,0.1108336,18,27.0,0.1340875,19
10,5,46.0,0.2903805,22,34.0,0.4446293,18,89.0,0.3642016,23,11.0,0.2010277,25,71.0,0.1168133,27,0,0,0
1,1,71.0,0.3649823,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,103.0,0.3041235,9,67.0,0.40192,14,26.0,0.05623038,15,42.0,0.07512398,17,21.0,0.4684643,17,0,0,0
10,6,92.0,0.1303879,27,92.0,0.1852601,23,105.0,0.4926382,22,56.0,0.115521,23,7.0,0.3574736,14,40.0,0.1553165,26
18,6,30.0,0.2456568,5,100.0,0.2985042,17,49.0,0.4825012,30,72.0,0.4146457,12,66.0,0.3951766,3,111.0,0.0104009,1
10,4,33.0,0.4285781,27,97.0,0.5082244,26,78.0,0.1524255,21,35.0,0.1798281,4,0,0,0,0,0,0
0,1,51.0,0.3202831,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,115.0,0.4740427,23,34.0,0.1938752,23,95.0,0.3652861,17,15.0,0.1148688,3,116.0,0.08937867,7,0,0,0
6,3,87.0,0.2073668,28,77.0,0.1378399,9,103.0,0.2366269,25,0,0,0,0,0,0,0,0,0
1,1,69.0,0.1163111,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,108.0,0.3149271,7,31.0,0.478182,2,16.0,0.1031696,14,28.0,0.1138873,20,0,0,0,0,0,0
3,1,119.0,0.1850944,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,64.0,0.4263784,15,75.0,0.1883124,7,0,0,0,0,0,0,0,0,0,0,0,0
3,1,58.0,0.3996667,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,86.0,0.3883007,21,120.0,0.1586955,23,109.0,0.2390004,15,96.0,0.2573347,23,0,0,0,0,0,0
7,4,71.0,0.3668821,6,100.0,0.4777102,18,100.0,0.02096666,4,27.0,0.3408256,10,0,0,0,0,0,0
0,1,99.0,0.3226087,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,20.0,0.4297896,16,57.0,0.3435167,27,35.0,0.3217073,27,69.0,0.1023439,20,20.0,0.05246563,3,0,0,0
14,4,32.0,0.1957351,21,9.0,0.5024984,13,6.0,0.5045543,28,71.0,0.01374866,15,0,0,0,0,0,0
22,6,116.0,0.4256142,15,17.0,0.4043612,6,92.0,0.2710857,29,26.0,0.4232886,22,21.0,0.2005526,22,88.0,0.1413235,8
14,5,72.0,0.1226378,20,105.0,0.03971268,18,23.0,0.08815493,15,109.0,0.1089875,28,86.0,0.3188428,8,0,0,0
0,1,114.0,0.1700951,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,25.0,0.07606842,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,84.0,0.05799277,4,112.0,0.02113367,10,25.0,0.1154981,5,40.0,0.2082344,8,72.0,0.1560015,30,0,0,0
11,3,81.0,0.4162877,19,19.0,0.2917221,21,99.0,0.3105667,18,0,0,0,0,0,0,0,0,0
8,3,66.0,0.1480962,7,45.0,0.2603309,12,87.0,0.1953355,6,0,0,0,0,0,0,0,0,0
23,6,84.0,0.01219923,30,92.0,0.1184831,20,52.0,0.04053117,3,52.0,0.4047576,18,72.0,0.06274213,14,94.0,0.3944431,17
4,1,51.0,0.2952352,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,97.0,0.3219011,19,37.0,0.383532,20,8.0,0.3099817,21,108.0,0.1597909,14,0,0,0,0,0,0
15,6,52.0,0.4614118,26,5.0,0.4440811,18,47.0,0.1907543,6,68.0,0.08845963,29,65.0,0.1881301,7,54.0,0.07104726,25
18,6,114.0,0.3176581,3,11.0,0.4387695,15,76.0,0.1658625,5,46.0,0.3780872,8,51.0,0.0682791,13,33.0,0.3859006,26
9,2,91.0,0.4885544,19,39.0,0.1595645,17,0,0,0,0,0,0,0,0,0,0,0,0
2,2,52.0,0.07237597,25,82.0,0.301063,15,0,0,0,0,0,0,0,0,0,0,0,0
11,3,70.0,0.178304,9,35.0,0.2952857,26,29.0,0.2879365,29,0,0,0,0,0,0,0,0,0
16,5,26.0,0.04591711,20,55.0,0.379755,26,11.0,0.07637776,16,92.0,0.04381008,20,82.0,0.3877518,3,0,0,0
4,1,43.0,0.1782134,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,99.0,0.1760416,10,36.0,0.3870957,29,90.0,0.1767033,27,0,0,0,0,0,0,0,0,0
8,2,16.0,0.2273651,13,13.0,0.3159085,18,0,0,0,0,0,0,0,0,0,0,0,0
2,2,20.0,0.4482055,4,32.0,0.1798513,8,0,0,0,0,0,0,0,0,0,0,0,0
0,1,51.0,0.2701955,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,56.0,0.3589238,18,38.0,0.3026996,11,0,0,0,0,0,0,0,0,0,0,0,0
15,2,97.0,0.3161053,15,10.0,0.4074237,25,0,0,0,0,0,0,0,0,0,0,0,0
1,1,61.0,0.08941193,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,35.0,0.3670544,22,88.0,0.2050753,3,37.0,0.4482429,20,113.0,0.1237231,19,0,0,0,0,0,0
14,3,64.0,0.2724499,13,58.0,0.4592833,23,76.0,0.1271735,2,0,0,0,0,0,0,0,0,0
12,4,62.0,0.1012259,10,37.0,0.1078222,18,91.0,0.1613186,11,108.0,0.3131625,17,0,0,0,0,0,0
3,2,68.0,0.4646013,8,114.0,0.4144011,8,0,0,0,0,0,0,0,0,0,0,0,0
5,2,13.0,0.15582,7,56.0,0.4243742,27,0,0,0,0,0,0,0,0,0,0,0,0
6,2,112.0,0.03847195,20,15.0,0.4784824,11,0,0,0,0,0,0,0,0,0,0,0,0
2,2,50.0,0.07840176,7,112.0,0.3143465,12,0,0,0,0,0,0,0,0,0,0,0,0
3,1,48.0,0.3153482,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,37.0,0.4702161,29,56.0,0.3081156,3,7.0,0.4778116,28,78.0,0.3443548,27,93.0,0.2789406,22,0,0,0
8,5,108.0,0.01470227,6,26.0,0.3433209,3,105.0,0.4302574,21,47.0,0.3624128,24,102.0,0.3090077,17,0,0,0
1,1,67.0,0.314493,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,43.0,0.4987981,26,11.0,0.4088991,19,0,0,0,0,0,0,0,0,0,0,0,0
0,1,39.0,0.260729,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,56.0,0.1838316,8,110.0,0.3856031,26,82.0,0.1890701,23,13.0,0.2977369,25,35.0,0.4385329,25,63.0,0.4169902,2
3,1,36.0,0.4463689,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,90.0,0.3473857,21,32.0,0.1857339,17,109.0,0.4041261,11,48.0,0.1989722,6,33.0,0.0723315,4,120.0,0.2319417,18
1,2,109.0,0.07885994,16,100.0,0.09457947,13,0,0,0,0,0,0,0,0,0,0,0,0
11,2,20.0,0.124068,21,7.0,0.01609428,22,0,0,0,0,0,0,0,0,0,0,0,0
6,1,19.0,0.3944675,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,22.0,0.3803537,12,33.0,0.2782641,29,0,0,0,0,0,0,0,0,0,0,0,0
6,3,9.0,0.2095461,2,42.0,0.08721437,26,107.0,0.317365,4,0,0,0,0,0,0,0,0,0
9,6,53.0,0.2374267,15,80.0,0.1227421,5,110.0,0.1800002,10,107.0,0.1483912,26,81.0,0.2463645,17,106.0,0.2924162,11
11,5,40.0,0.297419,29,103.0,0.3662578,13,9.0,0.07973589,12,31.0,0.3447992,15,97.0,0.1090437,5,0,0,0
17,4,119.0,0.1885656,23,117.0,0.3517176,9,80.0,0.2705815,28,30.0,0.3172338,25,0,0,0,0,0,0
7,2,42.0,0.05957116,13,13.0,0.3453909,14,0,0,0,0,0,0,0,0,0,0,0,0
10,6,8.0,0.1797195,1,57.0,0.3143714,13,92.0,0.4853203,8,45.0,0.3436779,10,13.0,0.3209876,6,54.0,0.1446741,28
16,3,34.0,0.2055694,20,107.0,0.05529846,12,53.0,0.457627,27,0,0,0,0,0,0,0,0,0
7,3,120.0,0.2430348,9,38.0,0.01264084,23,57.0,0.2773233,12,0,0,0,0,0,0,0,0,0
19,4,107.0,0.4311203,22,61.0,0.2630016,23,11.0,0.1220885,22,51.0,0.4179513,16,0,0,0,0,0,0
9,2,112.0,0.411464,27,75.0,0.4338011,30,0,0,0,0,0,0,0,0,0,0,0,0
1,1,78.0,0.03814162,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,15.0,0.07346423,14,18.0,0.4443069,9,69.0,0.4313812,5,58.0,0.2106895,12,0,0,0,0,0,0
4,2,91.0,0.1305205,25,53.0,0.09001769,25,0,0,0,0,0,0,0,0,0,0,0,0
5,1,12.0,0.3125557,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,46.0,0.3432434,11,102.0,0.219605,18,23.0,0.01861812,3,0,0,0,0,0,0,0,0,0
6,4,68.0,0.05996855,23,108.0,0.249882,4,115.0,0.1414889,14,113.0,0.1334738,5,0,0,0,0,0,0
15,3,87.0,0.1794045,26,110.0,0.1454088,9,15.0,0.3538187,25,0,0,0,0,0,0,0,0,0
5,1,33.0,0.3080109,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,11.0,0.4261136,3,69.0,0.1133936,6,0,0,0,0,0,0,0,0,0,0,0,0
11,5,27.0,0.4333459,23,15.0,0.1446695,5,79.0,0.4954706,12,100.0,0.3722653,15,88.0,0.2179619,14,0,0,0
6,2,9.0,0.04734512,4,18.0,0.2939672,11,0,0,0,0,0,0,0,0,0,0,0,0
14,5,15.0,0.2153795,15,116.0,0.3882769,29,46.0,0.02737267,16,31.0,0.2487227,6,28.0,0.2129732,13,0,0,0
