SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
43,1,117.0,30,0.2,6
39,2,10.0,56,0.339285714285714,19
10,3,70.0,62,0.306451612903226,19
47,4,101.0,57,0.280701754385965,16
44,5,29.0,52,0.480769230769231,25
15,6,6.0,54,0.5,27
4,7,79.0,65,0.676923076923077,44
24,8,43.0,51,0.607843137254902,31
18,9,39.0,39,0.717948717948718,28
19,10,53.0,50,0.84,42
26,11,27.0,38,1.02631578947368,39
27,12,57.0,59,1.11864406779661,66
44,13,83.0,48,1.0625,51
10,14,76.0,51,0.92156862745098,47
48,15,39.0,47,0.978723404255319,46
43,16,45.0,51,1.27450980392157,65
30,17,27.0,45,0.888888888888889,40
34,18,107.0,61,1.39344262295082,85
13,19,33.0,52,2.15384615384615,112
44,20,31.0,50,1.26,63
34,21,103.0,61,2.0983606557377,128
49,22,70.0,51,1.58823529411765,81
9,23,84.0,53,1.9811320754717,105
38,24,117.0,46,1.60869565217391,74
11,25,44.0,54,1.37037037037037,74
39,26,99.0,36,2.08333333333333,75
36,27,96.0,55,2.36363636363636,130
11,28,42.0,57,2.33333333333333,133
21,29,45.0,53,1.90566037735849,101
38,30,84.0,25,3.0,75
