SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
1,14,108.0,41,0.878048780487805,36
2,30,5.0,20,0.9,18
3,8,90.0,31,1.03225806451613,32
4,9,66.0,28,1.14285714285714,32
5,6,7.0,25,1.24,31
6,3,9.0,26,1.5,39
7,3,44.0,35,0.714285714285714,25
8,14,46.0,32,1.03125,33
9,20,95.0,26,1.23076923076923,32
10,22,97.0,36,0.916666666666667,33
11,18,58.0,20,1.8,36
12,14,100.0,27,1.40740740740741,38
13,24,74.0,37,1.16216216216216,43
14,8,91.0,31,1.67741935483871,52
15,14,72.0,23,1.1304347826087,26
16,5,93.0,36,2.27777777777778,82
17,21,21.0,29,2.41379310344828,70
18,17,104.0,28,1.67857142857143,47
19,18,8.0,32,1.90625,61
20,4,85.0,47,2.0,94
21,12,56.0,28,2.53571428571429,71
22,27,105.0,27,2.25925925925926,61
23,26,86.0,28,2.75,77
24,22,34.0,25,2.68,67
25,5,17.0,32,2.71875,87
26,30,78.0,26,3.73076923076923,97
27,11,15.0,27,2.88888888888889,78
28,25,43.0,31,2.32258064516129,72
29,30,76.0,20,3.3,66
30,1,25.0,23,2.78260869565217,64
31,18,51.0,32,3.6875,118
32,3,85.0,26,3.26923076923077,85
33,24,17.0,45,3.17777777777778,143
34,4,45.0,29,3.51724137931034,102
35,26,21.0,33,3.33333333333333,110
36,3,60.0,28,2.53571428571429,71
37,5,48.0,30,3.4,102
38,24,49.0,38,5.60526315789474,213
39,9,87.0,30,3.93333333333333,118
40,11,5.0,30,3.13333333333333,94
41,24,47.0,30,4.63333333333333,139
42,4,78.0,42,4.26190476190476,179
43,29,85.0,27,4.2962962962963,116
44,6,108.0,28,5.14285714285714,144
45,9,19.0,28,5.71428571428571,160
46,13,9.0,20,4.05,81
47,6,43.0,40,5.075,203
48,22,109.0,26,4.57692307692308,119
49,23,110.0,27,5.74074074074074,155
50,27,12.0,34,4.47058823529412,152
