SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
38,1,89.0,39,1.23076923076923,48
43,2,38.0,51,0.980392156862745,50
41,3,9.0,35,1.17142857142857,41
29,4,26.0,45,1.51111111111111,68
6,5,24.0,47,1.27659574468085,60
33,6,101.0,45,1.44444444444444,65
49,7,94.0,44,1.5,66
8,8,101.0,54,2.01851851851852,109
9,9,10.0,55,1.83636363636364,101
21,10,107.0,53,1.67924528301887,89
4,11,73.0,55,1.63636363636364,90
34,12,96.0,46,2.60869565217391,120
23,13,118.0,45,1.75555555555556,79
32,14,102.0,61,2.67213114754098,163
47,15,88.0,77,2.32467532467532,179
18,16,67.0,60,2.25,135
17,17,105.0,44,2.93181818181818,129
19,18,102.0,55,2.36363636363636,130
31,19,74.0,55,2.8,154
3,20,38.0,55,2.63636363636364,145
23,21,18.0,37,2.81081081081081,104
27,22,54.0,42,2.38095238095238,100
5,23,102.0,50,2.48,124
30,24,84.0,64,3.046875,195
18,25,43.0,39,2.71794871794872,106
49,26,60.0,43,3.86046511627907,166
14,27,73.0,69,2.89855072463768,200
47,28,35.0,46,3.84782608695652,177
5,29,42.0,57,3.64912280701754,208
47,30,27.0,32,3.75,120
