WAVE_ID,Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
111,14,4,87.0,0.3958327,9,60.0,0.3608173,3,104.0,0.1805473,17,17.0,0.3337704,24,0,0,0,0,0,0
112,11,4,51.0,0.3112667,18,48.0,0.3708592,5,49.0,0.3881981,24,8.0,0.1997939,18,0,0,0,0,0,0
113,13,4,9.0,0.06647058,3,21.0,0.1718673,21,108.0,0.01694215,14,34.0,0.2487386,22,0,0,0,0,0,0
114,13,4,74.0,0.1338445,24,15.0,0.27838,11,17.0,0.0112306,14,92.0,0.1830687,3,0,0,0,0,0,0
115,5,4,85.0,0.2099529,4,5.0,0.4053395,11,46.0,0.08643754,14,44.0,0.1804139,2,0,0,0,0,0,0
116,7,4,120.0,0.01400662,12,28.0,0.376868,6,109.0,0.4002349,11,80.0,0.08919282,5,0,0,0,0,0,0
117,15,4,32.0,0.3335702,11,97.0,0.1055202,22,47.0,0.4160208,24,85.0,0.4382521,29,0,0,0,0,0,0
118,15,4,61.0,0.1772421,22,5.0,0.02634085,30,48.0,0.01121313,29,107.0,0.316296,29,0,0,0,0,0,0
119,21,4,86.0,0.2300484,26,12.0,0.5006403,27,76.0,0.2988364,30,52.0,0.1351171,9,0,0,0,0,0,0
120,6,4,60.0,0.3386482,15,44.0,0.07467581,3,25.0,0.3047264,1,45.0,0.3421083,4,0,0,0,0,0,0
121,11,4,110.0,0.4997441,23,9.0,0.4627306,13,23.0,0.200746,8,7.0,0.0546483,6,0,0,0,0,0,0
122,25,4,21.0,0.3562494,26,38.0,0.381608,23,100.0,0.1203665,14,28.0,0.3927556,27,0,0,0,0,0,0
123,11,4,57.0,0.1729648,2,105.0,0.2298189,27,20.0,0.2037649,27,41.0,0.4337994,17,0,0,0,0,0,0
124,6,4,48.0,0.1096282,30,113.0,0.175443,21,93.0,0.1618625,5,48.0,0.08256073,15,0,0,0,0,0,0
125,18,4,19.0,0.4500701,9,63.0,0.3914087,21,118.0,0.3019954,23,17.0,0.2522573,5,0,0,0,0,0,0
258,10,4,43.0,0.4739352,6,80.0,0.4769089,18,17.0,0.1293692,12,77.0,0.1666982,17,0,0,0,0,0,0
259,8,4,78.0,0.4266093,4,82.0,0.1999857,17,89.0,0.3566221,29,95.0,0.09762581,20,0,0,0,0,0,0
260,13,4,78.0,0.260441,30,110.0,0.1347186,15,108.0,0.4407763,6,10.0,0.0144086,23,0,0,0,0,0,0
261,9,4,12.0,0.396508,3,66.0,0.04597653,9,72.0,0.159722,14,14.0,0.06342675,27,0,0,0,0,0,0
262,11,4,43.0,0.2847008,25,91.0,0.1466351,8,48.0,0.2890733,22,69.0,0.1674924,8,0,0,0,0,0,0
263,13,4,12.0,0.4550329,24,18.0,0.2264436,29,90.0,0.03417374,8,78.0,0.4683799,18,0,0,0,0,0,0
264,4,4,96.0,0.01683105,7,102.0,0.2571792,30,62.0,0.1021561,15,85.0,0.2014403,15,0,0,0,0,0,0
265,14,4,73.0,0.4014753,17,22.0,0.1351288,9,55.0,0.3564576,23,17.0,0.04591735,24,0,0,0,0,0,0
