SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
1,13,60.0,20,0.6,12
2,4,75.0,30,0.9,27
3,20,38.0,35,0.914285714285714,32
4,11,73.0,25,0.52,13
5,29,42.0,28,1.75,49
6,5,24.0,35,1.02857142857143,36
7,24,86.0,33,1.06060606060606,35
8,8,101.0,41,1.26829268292683,52
9,18,96.0,40,1.55,62
10,4,61.0,34,1.02941176470588,35
11,10,20.0,33,1.21212121212121,40
12,8,39.0,36,1.52777777777778,55
13,15,101.0,32,1.21875,39
14,27,73.0,28,1.82142857142857,51
15,15,24.0,27,1.37037037037037,37
16,16,75.0,31,1.93548387096774,60
17,17,105.0,21,1.66666666666667,35
18,16,67.0,30,1.8,54
19,18,102.0,26,1.88461538461538,49
20,12,21.0,33,2.33333333333333,77
21,10,107.0,38,2.0,76
22,8,110.0,38,2.55263157894737,97
23,29,97.0,26,2.15384615384615,56
24,27,67.0,35,2.31428571428571,81
25,21,69.0,26,3.26923076923077,85
26,20,85.0,28,1.78571428571429,50
27,22,54.0,29,2.31034482758621,67
28,10,41.0,32,2.15625,69
29,4,26.0,23,2.60869565217391,60
30,24,84.0,23,2.73913043478261,63
31,19,74.0,20,1.6,32
32,15,9.0,36,2.80555555555556,101
33,6,101.0,34,3.35294117647059,114
34,25,88.0,28,2.39285714285714,67
35,24,105.0,30,2.96666666666667,89
36,25,34.0,32,4.03125,129
37,15,78.0,24,2.66666666666667,64
38,14,107.0,29,3.93103448275862,114
39,18,95.0,27,3.44444444444444,93
40,28,13.0,33,2.6969696969697,89
41,8,59.0,39,3.02564102564103,118
42,4,7.0,27,4.48148148148148,121
43,8,11.0,18,3.38888888888889,61
44,16,13.0,33,4.54545454545455,150
45,10,33.0,33,3.42424242424242,113
46,22,54.0,30,2.96666666666667,89
47,15,88.0,31,2.96774193548387,92
48,6,10.0,30,4.06666666666667,122
49,7,94.0,20,3.95,79
50,8,19.0,30,4.33333333333333,130
