SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
1,16,65.0,34,0.823529411764706,28
2,13,99.0,42,0.880952380952381,37
3,12,41.0,37,0.891891891891892,33
4,13,96.0,36,0.388888888888889,14
5,21,11.0,29,1.86206896551724,54
6,8,80.0,25,1.48,37
7,10,14.0,23,1.43478260869565,33
8,3,57.0,27,1.14814814814815,31
9,29,30.0,36,1.33333333333333,48
10,23,44.0,31,0.935483870967742,29
11,23,22.0,31,1.35483870967742,42
12,12,22.0,37,1.18918918918919,44
13,21,67.0,29,1.3448275862069,39
14,8,70.0,31,1.51612903225806,47
15,13,72.0,33,1.81818181818182,60
16,29,10.0,33,2.39393939393939,79
17,24,119.0,29,1.06896551724138,31
18,25,45.0,27,2.03703703703704,55
19,11,19.0,35,1.42857142857143,50
20,23,73.0,29,1.58620689655172,46
21,11,70.0,22,2.13636363636364,47
22,13,56.0,26,2.42307692307692,63
23,29,36.0,20,2.4,48
24,12,14.0,34,2.5,85
25,3,7.0,30,2.36666666666667,71
26,24,32.0,37,1.94594594594595,72
27,6,6.0,35,1.8,63
28,3,10.0,34,2.23529411764706,76
29,12,59.0,31,4.06451612903226,126
30,12,104.0,36,2.44444444444444,88
31,15,106.0,30,3.0,90
32,17,88.0,23,3.69565217391304,85
33,10,66.0,32,4.375,140
34,29,97.0,24,2.875,69
35,11,85.0,30,4.43333333333333,133
36,27,73.0,26,3.76923076923077,98
37,22,28.0,23,4.21739130434783,97
38,21,57.0,20,4.45,89
39,10,79.0,24,3.83333333333333,92
40,26,25.0,25,6.12,153
41,23,79.0,28,3.10714285714286,87
42,24,84.0,40,3.575,143
43,15,67.0,27,4.48148148148148,121
44,14,87.0,36,4.33333333333333,156
45,14,95.0,28,5.75,161
46,12,5.0,25,5.88,147
47,9,59.0,36,4.86111111111111,175
48,13,83.0,28,5.85714285714286,164
49,21,60.0,27,6.25925925925926,169
50,16,16.0,29,7.03448275862069,204
