SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
33,4,5.0,5,2.8,14
6,1,6.0,17,2.05882352941176,35
7,10,7.0,12,2.75,33
33,7,8.0,17,2.94117647058824,50
27,19,9.0,7,1.28571428571429,9
16,7,10.0,13,7.76923076923077,101
20,6,11.0,14,4.92857142857143,69
50,5,12.0,11,6.27272727272727,69
6,12,13.0,5,3.2,16
30,3,14.0,15,5.4,81
37,3,15.0,12,3.83333333333333,46
20,19,16.0,14,5.28571428571429,74
10,3,17.0,6,3.83333333333333,23
48,7,18.0,6,3.0,18
27,13,19.0,8,5.375,43
33,19,20.0,20,4.55,91
45,5,21.0,15,3.73333333333333,56
48,10,22.0,12,4.0,48
7,20,23.0,14,4.71428571428571,66
50,5,24.0,10,2.1,21
46,22,25.0,19,6.26315789473684,119
40,25,26.0,12,5.41666666666667,65
36,10,27.0,5,3.0,15
3,23,28.0,9,4.55555555555556,41
48,20,29.0,13,6.0,78
28,29,30.0,11,5.63636363636364,62
20,22,31.0,11,5.36363636363636,59
46,8,32.0,16,4.5,72
26,13,33.0,14,4.07142857142857,57
39,10,34.0,9,4.33333333333333,39
11,14,35.0,18,3.33333333333333,60
35,24,36.0,8,7.375,59
18,11,37.0,12,3.58333333333333,43
11,7,38.0,14,3.35714285714286,47
16,9,39.0,12,2.58333333333333,31
37,21,40.0,13,3.76923076923077,49
25,10,41.0,7,2.85714285714286,20
41,14,42.0,9,4.22222222222222,38
49,3,43.0,14,3.78571428571429,53
31,19,44.0,12,2.58333333333333,31
35,17,45.0,18,3.72222222222222,67
46,13,46.0,9,1.77777777777778,16
16,10,47.0,24,2.45833333333333,59
47,15,48.0,14,3.14285714285714,44
41,6,49.0,16,2.875,46
2,4,50.0,15,3.53333333333333,53
27,10,51.0,20,2.9,58
49,29,52.0,13,2.38461538461538,31
2,28,53.0,10,2.0,20
49,16,54.0,19,3.57894736842105,68
32,23,55.0,18,2.55555555555556,46
18,20,56.0,16,3.6875,59
39,12,57.0,10,2.0,20
32,6,58.0,13,2.38461538461538,31
1,23,59.0,12,4.08333333333333,49
2,17,60.0,9,2.44444444444444,22
28,24,61.0,15,2.4,36
50,8,62.0,14,2.14285714285714,30
46,8,63.0,9,3.11111111111111,28
3,20,64.0,10,2.5,25
26,11,65.0,7,3.14285714285714,22
43,2,66.0,14,1.5,21
22,22,67.0,8,1.125,9
30,28,68.0,13,3.07692307692308,40
30,9,69.0,15,1.4,21
11,16,70.0,9,1.44444444444444,13
39,23,71.0,22,2.59090909090909,57
36,30,72.0,15,1.8,27
14,28,73.0,16,3.1875,51
6,14,74.0,13,1.84615384615385,24
14,9,75.0,12,1.91666666666667,23
17,3,76.0,13,2.23076923076923,29
31,17,77.0,20,1.55,31
43,14,78.0,20,1.8,36
8,12,79.0,9,1.44444444444444,13
41,8,80.0,7,2.0,14
42,16,81.0,7,0.571428571428571,4
43,21,82.0,19,2.63157894736842,50
41,2,83.0,9,2.77777777777778,25
17,30,84.0,20,1.3,26
8,22,85.0,21,1.71428571428571,36
24,23,86.0,11,0.545454545454545,6
19,7,87.0,15,1.73333333333333,26
32,26,88.0,12,3.0,36
50,28,89.0,13,2.61538461538462,34
2,11,90.0,11,2.63636363636364,29
29,8,91.0,9,1.55555555555556,14
12,7,92.0,17,1.35294117647059,23
3,9,93.0,11,1.0,11
50,9,94.0,9,3.22222222222222,29
30,23,95.0,16,0.875,14
48,9,96.0,14,1.85714285714286,26
20,20,97.0,9,1.66666666666667,15
24,1,98.0,6,1.66666666666667,10
27,20,99.0,13,1.07692307692308,14
7,22,100.0,9,1.88888888888889,17
41,12,101.0,12,2.41666666666667,29
16,19,102.0,15,1.2,18
21,18,103.0,20,1.45,29
24,23,104.0,11,2.0,22
32,6,105.0,18,1.38888888888889,25
8,13,106.0,17,1.35294117647059,23
50,7,107.0,14,1.14285714285714,16
37,10,108.0,13,0.923076923076923,12
10,24,109.0,13,1.69230769230769,22
7,8,110.0,8,1.25,10
26,16,111.0,12,1.75,21
35,22,112.0,18,1.16666666666667,21
36,20,113.0,8,1.5,12
5,26,114.0,14,1.35714285714286,19
25,17,115.0,19,1.31578947368421,25
16,17,116.0,15,1.4,21
39,28,117.0,17,1.52941176470588,26
48,19,118.0,16,1.25,20
19,1,119.0,14,2.07142857142857,29
31,15,120.0,7,1.42857142857143,10
